#SIZE	NO. OF SUPERNOVAE
1649	0.999
1650	0.999
1651	0.999
1652	0.999
1653	0.999
1654	0.999
1655	0.999
1656	0.999
1657	0.999
1658	0.999
1659	0.999
1660	0.999
1661	0.999
1662	0.999
1663	0.999
1664	0.999
1665	0.999
1666	0.999
1667	0.999
1668	0.999
1669	0.999
1670	0.999
1671	0.999
1672	0.999
1673	0.999
1674	0.999
1675	0.999
1676	0.999
1677	0.999
1678	0.999
1679	0.999
1680	0.999
1681	0.999
1682	0.999
1683	0.999
1684	0.999
1685	0.999
1686	0.999
1687	0.999
1688	0.999
1689	0.999
1690	0.999
1691	0.999
1692	0.999
1693	0.999
1694	0.999
1695	0.999
1696	0.999
1697	0.999
1698	0.999
1699	0.999
1700	0.999
1701	0.999
1702	0.999
1703	0.999
1704	0.999
1705	0.999
1706	0.999
1707	0.999
1708	0.999
1709	0.999
1710	0.999
1711	0.999
1712	0.999
1713	0.999
1714	0.999
1715	0.999
1716	0.999
1717	0.999
1718	0.999
1719	0.999
1720	0.999
1721	0.999
1722	0.999
1723	0.999
1724	0.999
1725	0.999
1726	0.999
1727	0.999
1728	0.999
1729	0.999
1730	0.999
1731	0.999
1732	0.999
1733	0.999
1734	0.999
1735	0.999
1736	0.999
1737	0.999
1738	0.999
1739	0.999
1740	0.999
1741	0.999
1742	0.999
1743	0.999
1744	0.999
1745	0.999
1746	0.999
1747	0.999
1748	0.999
1749	0.999
1750	0.999
1751	0.999
1752	0.999
1753	0.999
1754	0.999
1755	0.999
1756	0.999
1757	0.999
1758	0.999
1759	0.999
1760	0.999
1761	0.999
1762	0.999
1763	0.999
1764	0.999
1765	0.999
1766	0.999
1767	0.999
1768	0.999
1769	0.999
1770	0.999
1771	0.999
1772	0.999
1773	0.999
1774	0.999
1775	0.999
1776	0.999
1777	0.999
1778	0.999
1779	0.999
1780	0.999
1781	0.999
1782	0.999
1783	0.999
1784	0.999
1785	0.999
1786	0.999
1787	0.999
1788	0.999
1789	0.999
1790	0.999
1791	0.999
1792	0.999
1793	0.999
1794	0.999
1795	0.999
1796	0.999
1797	0.999
1798	0.999
1799	0.999
1800	0.999
1801	0.999
1802	0.999
1803	0.999
1804	0.999
1805	0.999
1806	0.999
1807	0.999
1808	0.999
1809	0.999
1810	0.999
1811	0.999
1812	0.999
1813	0.999
1814	0.999
1815	0.999
1816	0.999
1817	0.999
1818	0.999
1819	0.999
1820	0.999
1821	0.999
1822	0.999
1823	0.999
1824	0.999
1825	0.999
1826	0.999
1827	0.999
1828	0.999
1829	0.999
1830	0.999
1831	0.999
1832	0.999
1833	0.999
1834	0.999
1835	0.999
1836	0.999
1837	0.999
1838	0.999
1839	0.999
1840	0.999
1841	0.999
1842	0.999
1843	0.999
1844	0.999
1845	0.999
1846	0.999
1847	0.999
1848	0.999
1849	0.999
1850	0.999
1851	0.999
1852	0.999
1853	0.999
1854	0.999
1855	0.999
1856	0.999
1857	0.999
1858	0.999
1859	0.999
1860	0.999
1861	0.999
1862	0.999
1863	0.999
1864	0.999
1865	0.999
1866	0.999
1867	0.999
1868	0.999
1869	0.999
1870	0.999
1871	0.999
1872	0.999
1873	0.999
1874	0.999
1875	0.999
1876	0.999
1877	0.999
1878	0.999
1879	0.999
1880	0.999
1881	0.999
1882	0.999
1883	0.999
1884	0.999
1885	0.999
1886	0.999
1887	0.999
1888	0.999
1889	0.999
1890	0.999
1891	0.999
1892	0.999
1893	0.999
1894	0.999
1895	0.999
1896	0.999
1897	0.999
1898	0.999
1899	0.999
1900	0.999
1901	0.999
1902	0.999
1903	0.999
1904	0.999
1905	0.999
1906	0.999
1907	0.999
1908	0.999
1909	0.999
1910	0.999
1911	0.999
1912	0.999
1913	0.999
1914	0.999
1915	0.999
1916	0.999
1917	0.999
1918	0.999
1919	0.999
1920	0.999
1921	0.999
1922	0.999
1923	0.999
1924	0.999
1925	1
1926	1
1927	1
1928	1
1929	1
1930	1
1931	1
1932	1
1933	1
1934	1
1935	1
1936	1
1937	1
1938	1
1939	1
1940	1
1941	1
1942	1
1943	1
1944	1
1945	1
1946	1
1947	1
1948	1
1949	1
1950	1
1951	1
1952	1
1953	1
1954	1
1955	1
1956	1
1957	1
1958	1
1959	1
1960	1
1961	1
1962	1
1963	1
1964	1
1965	1
1966	1
1967	1
1968	1
1969	1
1970	1
1971	1
1972	1
1973	1
1974	1
1975	1
1976	1
1977	1
1978	1
1979	1
1980	1
1981	1
1982	1
1983	1
1984	1
1985	1
1986	1
1987	1
1988	1
1989	1
1990	1
1991	1
1992	1
1993	1
1994	1
1995	1
1996	1
1997	1
1998	1
1999	1
2000	1
2001	1
2002	1
2003	1
2004	1
2005	1
2006	1
2007	1
2008	1
2009	1
2010	1
2011	1
2012	1
2013	1
2014	1
2015	1
2016	1
2017	1
2018	1
2019	1
2020	1
2021	1
2022	1
2023	1
2024	1
2025	1
2026	1
2027	1
2028	1
2029	1
2030	1
2031	1
2032	1
2033	1
2034	1
2035	1
2036	1
2037	1
2038	1
2039	1
2040	1
2041	1
2042	1
2043	1
2044	1
2045	1
2046	1
2047	1
2048	1
2049	1
2050	1
2051	1
2052	1
2053	1
2054	1
2055	1
2056	1
2057	1
2058	1
2059	1
2060	1
2061	1
2062	1
2063	1
2064	1
2065	1
2066	1
2067	1
2068	1
2069	1
2070	1
2071	1
2072	1
2073	1
2074	1
2075	1
2076	1
2077	1
2078	1
2079	1
2080	1
2081	1
2082	1
2083	1
2084	1
2085	1
2086	1
2087	1
2088	1
2089	1
2090	1
2091	1
2092	1
2093	1
2094	1
2095	1
2096	1
2097	1
2098	1
2099	1
2100	1
2101	1
2102	1
2103	1
2104	1
2105	1
2106	1
2107	1
2108	1
2109	1
2110	1
2111	1
2112	1
2113	1
2114	1
2115	1
2116	1
2117	1
2118	1
2119	1
2120	1
2121	1
2122	1
2123	1
2124	1
2125	1
2126	1
2127	1
2128	1
2129	1
2130	1
2131	1
2132	1
2133	1
2134	1
2135	1
2136	1
2137	1
2138	1
2139	1
2140	1
2141	1
2142	1
2143	1
2144	1
2145	1
2146	1
2147	1
2148	1
2149	1
2150	1
2151	1
2152	1
2153	1
2154	1
2155	1
2156	1
2157	1
2158	1
2159	1
2160	1
2161	1
2162	1
2163	1
2164	1
2165	1
2166	1
2167	1
2168	1
2169	1
2170	1
2171	1
2172	1
2173	1
2174	1
2175	1
2176	1
2177	1
2178	1
2179	1
2180	1
2181	1
2182	1
2183	1
2184	1
2185	1
2186	1
2187	1
2188	1
2189	1
2190	1
2191	1
2192	1
2193	1
2194	1
2195	1
2196	1
2197	1
2198	1
2199	1
2200	1
2201	1
2202	1
2203	1
2204	1
2205	1
2206	1
2207	1
2208	1
2209	1
2210	1
2211	1
2212	1
2213	1
2214	1
2215	1
2216	1
2217	1
2218	1
2219	1
2220	1
2221	1
2222	1
2223	1
2224	1
2225	1
2226	1
2227	1
2228	1
2229	1
2230	1
2231	1
2232	1
2233	1
2234	1
2235	1
2236	1
2237	1
2238	1
2239	1
2240	1
2241	1
2242	1
2243	1
2244	1
2245	1
2246	1
2247	1
2248	1
2249	1
2250	1
2251	1
2252	1
2253	1
2254	1
2255	1
2256	1
2257	1
2258	1
